GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,OBSERVATION COUNT,BREEDING BIRD ATLAS CODE,BREEDING BIRD ATLAS CATEGORY,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS283060264,9/23/2020 10:47,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Goiás,BR-GO,,,,,,,Parque Nacional das Emas,L567986,H,-18.2609794,-52.8883982,10/27/2006,,obsr387715,S20712888,Historical,P62,EBIRD,,,,8,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS641425980,9/23/2020 10:47,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Goiás,BR-GO,,,,,,,Parque Nacional das Emas,L567986,H,-18.2609794,-52.8883982,8/23/2006,,obsr563815,S47319799,Historical,P62,EBIRD,,,,2,0,,0,1,0,,"Braulio Carlos, guide. Entering birds into life list. Birds on this list were seen August 22, 23, 24, and all in Emas National Park. GIANT ANTEATERS.",VULNERABLE
URN:CornellLabOfOrnithology:EBIRD:OBS952850542,7/27/2020 21:53,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,PN Serra da Canastra,L933292,H,-20.2506019,-46.4955139,9/27/2006,6:30:00,obsr110126,S64962427,Historical,P62,EBIRD,,,,5,1,,0,1,0,,Spent all day on the upper levels,
URN:CornellLabOfOrnithology:EBIRD:OBS275544021,53:22.8,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Paraguay,PY,Itapúa,PY-7,,,,,,,Reserva Guyra Reta,L2762150,H,-26.516,-55.7668333,10/1/2007,,obsr521919,S20162900,Historical,P62,EBIRD,,,,2,1,,0,1,0,,,Actividad/Activity: Presente / Present Individual Counts (1 )
URN:CornellLabOfOrnithology:EBIRD:OBS341294622,9/9/2015 0:14,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,PN Serra da Canastra--plateau,L1123074,H,-20.2183,-46.4763,11/5/2007,,obsr205067,S24956140,Historical,P62,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS749461346,5/7/2019 8:31,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,PN Serra da Canastra--Main entrance road,L6139521,H,-20.2601063,-46.4064732,10/28/2007,8:00:00,obsr667533,S55707281,Traveling,P22,EBIRD,30,1.609,,1,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS275376258,29:26.8,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Paraguay,PY,Paraguarí,PY-9,,,,,,,"Estancia La Graciela, Dpto. Misiones (Ñeembucú)",L2761806,H,-26.5166667,-56.8666667,3/21/2009,9:00:00,obsr520076,S20166876,Historical,P62,EBIRD,180,,,3,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS408807805,8/8/2019 10:25,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Goiás,BR-GO,,,,,,,Parque Nacional das Emas,L567986,H,-18.2609794,-52.8883982,10/15/2011,,obsr428375,S30009408,Incidental,P20,EBIRD,,,,,0,G1792330,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS434186552,8/8/2019 10:26,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,PN Serra da Canastra--plateau,L1123074,H,-20.2183,-46.4763,3/26/2011,14:00:00,obsr319430,S31897039,Traveling,P22,EBIRD_CAN,300,14,,5,1,G1952565,0,1,0,,"high part of canastra national park,",
URN:CornellLabOfOrnithology:EBIRD:OBS527252931,18:03.8,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,São Paulo,BR-SP,,,,,,,Estação Ecológica de Itirapina,L943006,H,-22.2295385,-47.8946037,9/8/2011,6:30:00,obsr601274,S38784963,Historical,P62,EBIRD,300,,,3,1,,0,1,1,,Com Robson Silva e Silva e Haroldo Palo,
URN:CornellLabOfOrnithology:EBIRD:OBS138285872,8/8/2019 10:26,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,PN Serra da Canastra--plateau,L1123074,H,-20.2183,-46.4763,3/26/2011,14:00:00,obsr137776,S9754078,Traveling,P22,EBIRD_CAN,300,14,,5,1,G1952565,0,1,0,,"high part of canastra national park,",
URN:CornellLabOfOrnithology:EBIRD:OBS123292460,8/8/2019 10:26,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,PN Serra da Canastra--plateau,L1123074,H,-20.2183,-46.4763,7/21/2011,7:00:00,obsr171315,S8597304,Traveling,P22,EBIRD,720,24.14,,6,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS370112487,8/8/2019 10:25,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Goiás,BR-GO,,,,,,,Parque Nacional das Emas,L567986,H,-18.2609794,-52.8883982,10/15/2011,,obsr88731,S27239268,Incidental,P20,EBIRD,,,,,0,G1792330,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS879235978,29:31.3,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Paraguay,PY,San Pedro,PY-2,,,,,,,"Laguna Blanca, San Pedro (Paraguay Central)",L2762183,H,-23.7666667,-56.2833333,2/13/2012,8:00:00,obsr624018,S65854117,Incidental,P20,EBIRD,,,,1,0,,0,1,0,,,Lagoon and dry Cerrado.  1 adult .
URN:CornellLabOfOrnithology:EBIRD:OBS1041931545,26:15.3,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,"Male, Adult (1)",Brazil,BR,São Paulo,BR-SP,,,,,,,Estação Ecológica de Itirapina,L11506400,P,-22.2496029,-47.8259915,11/30/2012,8:50:00,obsr611070,S78463899,Traveling,P22,EBIRD,15,0.5,,1,1,,0,1,1,,,
URN:CornellLabOfOrnithology:EBIRD:OBS928866865,5/22/2020 20:39,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,"Male, Juvenile (1)",Brazil,BR,São Paulo,BR-SP,,,,,,,Estação Ecológica de Itirapina,L11506400,P,-22.2496029,-47.8259915,11/29/2013,15:10:00,obsr611070,S69460181,Traveling,P22,EBIRD,40,1,,1,1,,1,1,1,,,
URN:CornellLabOfOrnithology:EBIRD:OBS459899104,8/7/2018 14:23,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,Cabeceiras do rio Uberabinha,L5294086,P,-19.3645956,-47.9159689,12/14/2013,,obsr620877,S33894594,Historical,P62,EBIRD,,,,2,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS695942693,9/28/2019 22:15,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,"Male, Adult (1)",Brazil,BR,São Paulo,BR-SP,,,,,,,Estação Ecológica de Itirapina,L943006,H,-22.2295385,-47.8946037,4/21/2013,15:00:00,obsr601274,S51471922,Historical,P62,EBIRD,80,,,3,1,,0,1,1,,,"plumagem bem gasta, antes do brejo"
URN:CornellLabOfOrnithology:EBIRD:OBS275588730,10/27/2020 21:15,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Paraguay,PY,Itapúa,PY-7,,,,,,,"Parque Nacional San Rafael, Dptos. Itapúa y Caazapá (Alto Paraná)",L2762791,H,-26.43,-55.8,5/28/2013,,obsr354980,S20161898,Incidental,P20,EBIRD,,,,1,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1023059731,42:37.5,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Mato Grosso do Sul,BR-MS,,,,,,,Bonito--Banhado Rio Formoso,L10022449,H,-21.229655,-56.5146192,3/25/2014,6:30:00,obsr658195,S77070315,Traveling,P22,EBIRD,180,4.828,,2,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS279654675,2/4/2019 14:10,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Mato Grosso do Sul,BR-MS,,,,,,,Estrada Pousada Canindé,L3151488,P,-20.507496,-54.803967,11/7/2014,7:40:00,obsr525851,S20464582,Traveling,P22,EBIRD,107,1.996,,1,1,,0,1,0,,"Avistar MS <br />Submitted from BirdLog SA for iOS, version 1.8",
URN:CornellLabOfOrnithology:EBIRD:OBS460013128,1/24/2017 9:22,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,Cabeceiras do rio Uberabinha,L5294086,P,-19.3645956,-47.9159689,8/14/2014,,obsr620877,S33903720,Historical,P62,EBIRD,,,,2,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS489520492,12/1/2019 14:44,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Goiás,BR-GO,,,,,,,Cerrado south of Chapada dos V,L5740351,P,-14.2443139,-47.4688502,6/18/2014,6:30:00,obsr131816,S36217736,Traveling,P22,EBIRD,600,64.374,,3,0,,1,1,0,,"Covered range of habitats - open grassland, forest near river, scrub etc.",
URN:CornellLabOfOrnithology:EBIRD:OBS460027695,2/1/2020 11:22,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,Cabeceiras do rio Uberabinha,L5294086,P,-19.3645956,-47.9159689,10/17/2014,,obsr620877,S33905195,Historical,P62,EBIRD,,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS460013857,1/24/2017 9:28,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,Cabeceiras do rio Claro,L5295530,P,-19.3877529,-47.8845549,8/21/2014,,obsr620877,S33903796,Historical,P62,EBIRD,,,,2,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS460029545,8/7/2018 14:23,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,Cabeceiras do rio Claro,L5295530,P,-19.3877529,-47.8845549,10/21/2014,,obsr620877,S33905323,Historical,P62,EBIRD,,,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS296682690,3/6/2018 16:22,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Mato Grosso do Sul,BR-MS,,,,,,,Terenos--Estrada de acesso à Reserva Canindé,L3366468,H,-20.4952066,-54.7977998,2/9/2014,6:30:00,obsr555099,S21820543,Traveling,P22,EBIRD,180,4,,5,1,,0,1,0,,"Com a participação do COA-CGR: Marta, Márcio, Geancarlo e Carlos.",
URN:CornellLabOfOrnithology:EBIRD:OBS318536888,8/10/2015 10:28,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,"Sacramento, MG",L3634331,P,-20.112113,-46.987417,5/9/2015,6:30:00,obsr552720,S23380111,Historical,P62,EBIRD,450,70,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS357732651,34:04.9,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Bolivia,BO,El Beni,BO-B,,,,,,,"BO-Beni - -14.7599x-64.9627 - Dec 6, 2015, 7:46 AM",L4050329,P,-14.759865,-64.962668,6/25/2015,6:00:00,obsr649538,S26174079,Traveling,P22,EBIRD,800,5,,3,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS330844157,2/5/2016 12:52,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,PN Serra da Canastra--plateau,L1123074,H,-20.2183,-46.4763,7/4/2015,8:00:00,obsr397143,S24194366,Traveling,P22,EBIRD,510,50,,3,1,G1340485,0,1,0,,Driving the entire road from the main entrance to the Casca d'Anta waterfall,At Nascente do Rio Sao Francisco
URN:CornellLabOfOrnithology:EBIRD:OBS356368989,2/7/2019 20:43,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,"Male, Adult (1)",Brazil,BR,Goiás,BR-GO,,,,,,,Chapada dos Veadeiros--Bona Espero,L2934194,H,-14.1371583,-47.6262903,11/13/2015,17:00:00,obsr280745,S26067287,Traveling,P22,EBIRD,45,1,,4,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS317790338,8/7/2018 14:23,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Goiás,BR-GO,,,,,,,Estrada para a Fazenda Firmeza,L3599845,H,-14.2964824,-47.4933922,5/9/2015,14:20:00,obsr522970,S23339790,Traveling,P22,EBIRD,120,25,,2,1,,0,1,0,,"rodovia go 118 e estrada vicinal com campos de altitude, cerrado e campo úmido",
URN:CornellLabOfOrnithology:EBIRD:OBS894367289,4/15/2020 9:55,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,serra da Canastra,L11145103,P,-20.1435418,-46.6582124,3/3/2015,7:00:00,obsr623287,S67137181,Traveling,P22,EBIRD_BRA,480,80,,5,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS330780453,7/9/2015 14:51,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,PN Serra da Canastra--plateau,L1123074,H,-20.2183,-46.4763,7/4/2015,8:00:00,obsr239797,S24189502,Traveling,P22,EBIRD,510,50,,3,1,G1340485,0,1,0,,Driving the entire road from the main entrance to the Casca d'Anta waterfall,At Nascente do Rio Sao Francisco
URN:CornellLabOfOrnithology:EBIRD:OBS423322003,2/7/2019 20:44,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Goiás,BR-GO,,,,,,,Chapada dos Veadeiros--Fazenda dos Anões,L2236325,H,-14.3186024,-47.5041586,8/1/2016,17:30:00,obsr518938,S31092017,Traveling,P22,EBIRD,30,1,,4,1,G1883033,0,1,0,,"<br />Submitted from eBird for iOS, version 1.2.5 Build 73",
URN:CornellLabOfOrnithology:EBIRD:OBS432186437,7/23/2020 15:28,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Goiás,BR-GO,,,,,,,Estrada para a Fazenda Firmeza,L3599845,H,-14.2964824,-47.4933922,9/25/2016,10:00:00,obsr522970,S31755898,Traveling,P22,EBIRD,60,5,,3,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS814000567,10/7/2019 17:59,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,Cachoeira da Casca D'Anta--Parte alta,L8088074,H,-20.2973442,-46.5221634,9/1/2016,6:10:00,obsr1457558,S60435002,Traveling,P22,EBIRD,800,20,,4,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS435615113,10/20/2020 8:00,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,"-20.2919x-46.5191 - Oct 10, 2016, 09:47",L4983131,P,-20.291933,-46.519076,10/10/2016,9:47:00,obsr553158,S31998883,Incidental,P20,EBIRD,,,,1,0,,1,1,0,,,Macho adulto. Foto
URN:CornellLabOfOrnithology:EBIRD:OBS418803734,8/8/2019 10:25,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Goiás,BR-GO,,,,,,,Parque Nacional das Emas,L567986,H,-18.2609794,-52.8883982,7/18/2016,6:15:00,obsr431534,S30753522,Traveling,P22,EBIRD,660,20,,4,1,G1852565,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS418796413,8/8/2019 10:25,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Goiás,BR-GO,,,,,,,Parque Nacional das Emas,L567986,H,-18.2609794,-52.8883982,7/18/2016,6:15:00,obsr360030,S30752962,Traveling,P22,EBIRD,660,20,,4,1,G1852565,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS447898808,9/28/2019 22:15,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,São Paulo,BR-SP,,,,,,,Estação Ecológica de Itirapina,L943006,H,-22.2295385,-47.8946037,10/28/2016,8:14:00,obsr648310,S32922032,Historical,P62,EBIRD,360,,,2,1,,1,1,1,,,
URN:CornellLabOfOrnithology:EBIRD:OBS441837684,03:03.5,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Bolivia,BO,El Beni,BO-B,,,,,,,Barba Azul Nature Reserve,L1133586,H,-13.763229,-66.0984278,10/3/2016,6:00:00,obsr779545,S32471034,Traveling,P22,EBIRD,780,12,,2,1,G2003569,0,1,0,,"Barba Azul Nature Reserve ""Big Day"" (Tjalle Boorsma and Fabian Meijer)",
URN:CornellLabOfOrnithology:EBIRD:OBS421338436,2/7/2019 20:44,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Goiás,BR-GO,,,,,,,Chapada dos Veadeiros--Fazenda dos Anões,L2236325,H,-14.3186024,-47.5041586,8/1/2016,17:30:00,obsr553166,S30943815,Traveling,P22,EBIRD,30,1,,4,1,G1883033,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS431264524,1/29/2019 4:33,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,São Roque de Minas--Hotel Chapadão da Canastra,L3110356,H,-20.2441648,-46.3688144,7/20/2016,7:03:00,obsr622695,S31690369,Historical,P62,EBIRD,600,50,1,3,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS435084392,03:03.6,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Bolivia,BO,El Beni,BO-B,,,,,,,Barba Azul Nature Reserve,L1133586,H,-13.763229,-66.0984278,10/3/2016,6:00:00,obsr619119,S31961102,Traveling,P22,EBIRD,780,12,,2,1,G2003569,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS545587119,10/30/2017 15:11,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,PN Serra da Canastra--plateau,L1123074,H,-20.2183,-46.4763,10/22/2017,9:23:00,obsr427721,S40214128,Traveling,P22,EBIRD,20,0.322,,10,1,G2697905,0,1,0,,WINGS group with Fabrice Schmitt,
URN:CornellLabOfOrnithology:EBIRD:OBS524101093,8/8/2017 17:58,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,, -20.215x-46.648,L6124722,P,-20.2153,-46.6477358,7/21/2017,13:40:00,obsr808160,S38548049,Incidental,P20,EBIRD_BRA,,,,4,0,G2560711,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS529297707,8/21/2020 10:15,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,PN Serra da Canastra--São Roque de Minas,L4680493,H,-20.2539235,-46.5511698,8/26/2017,12:47:00,obsr670042,S38939236,Traveling,P22,EBIRD,518,60,,3,1,G2611659,1,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS541367599,5/23/2020 22:45,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Goiás,BR-GO,,,,,,,Parque Nacional das Emas,L567986,H,-18.2609794,-52.8883982,9/25/2017,,obsr549029,S39906447,Historical,P62,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS543950367,10/23/2017 20:07,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,PN Serra da Canastra--plateau,L1123074,H,-20.2183,-46.4763,10/22/2017,9:23:00,obsr119128,S40091521,Traveling,P22,EBIRD,20,0.322,,10,1,G2697905,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS527714087,8/21/2020 10:15,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,PN Serra da Canastra--São Roque de Minas,L4680493,H,-20.2539235,-46.5511698,8/25/2017,6:49:00,obsr762013,S38820140,Traveling,P22,EBIRD,805,50,,3,1,G2611472,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS544481393,11/5/2017 13:02,16390,species,Cock-tailed Tyrant,Alectrurus tricolor,,,1,,,,Brazil,BR,Minas Gerais,BR-MG,,,,,,,PN Serra da Canastra--plateau,L1123074,H,-20.2183,-46.4763,10/22/2017,10:59:00,obsr334540,S40130186,Traveling,P22,EBIRD,40,0.644,,10,1,G2697906,0,1,0,,,
